Date : 2026-01-16 13:48:46
Directory : c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software
Total : 158 files,  23261 codes, 1169 comments, 4373 blanks, all 28803 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |         24 |      8,927 |          0 |      2,385 |     11,312 |
| TypeScript         |         65 |      8,831 |        955 |      1,400 |     11,186 |
| TypeScript JSX     |         26 |      3,884 |        120 |        397 |      4,401 |
| PowerShell         |          2 |        640 |         76 |        106 |        822 |
| JSON               |         15 |        408 |          0 |         15 |        423 |
| MS SQL             |          5 |        189 |         12 |         22 |        223 |
| JSON with Comments |          7 |        168 |          0 |          7 |        175 |
| YAML               |          4 |        111 |          1 |         21 |        133 |
| JavaScript         |          7 |         76 |          4 |         11 |         91 |
| PostCSS            |          3 |         27 |          1 |          9 |         37 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        158 |     23,261 |      1,169 |      4,373 |     28,803 |
| . (Files)                                                                                                                                      |         31 |      9,357 |         77 |      2,416 |     11,850 |
| .github                                                                                                                                        |          1 |         33 |          0 |         11 |         44 |
| .github\workflows                                                                                                                              |          1 |         33 |          0 |         11 |         44 |
| apps                                                                                                                                           |        106 |     13,523 |      1,069 |      1,902 |     16,494 |
| apps\admin                                                                                                                                     |         10 |        127 |          6 |         15 |        148 |
| apps\admin (Files)                                                                                                                             |          6 |         98 |          5 |          9 |        112 |
| apps\admin\app                                                                                                                                 |          3 |         28 |          0 |          5 |         33 |
| apps\admin\src                                                                                                                                 |          1 |          1 |          1 |          1 |          3 |
| apps\embed                                                                                                                                     |          9 |        118 |          5 |         14 |        137 |
| apps\embed (Files)                                                                                                                             |          6 |         90 |          5 |          9 |        104 |
| apps\embed\app                                                                                                                                 |          3 |         28 |          0 |          5 |         33 |
| apps\server                                                                                                                                    |         51 |      8,690 |        861 |      1,372 |     10,923 |
| apps\server (Files)                                                                                                                            |          2 |         66 |          0 |          2 |         68 |
| apps\server\src                                                                                                                                |         49 |      8,624 |        861 |      1,370 |     10,855 |
| apps\server\src (Files)                                                                                                                        |          3 |        552 |         76 |         80 |        708 |
| apps\server\src\__tests__                                                                                                                      |          9 |      3,436 |        154 |        627 |      4,217 |
| apps\server\src\db                                                                                                                             |         10 |        678 |         30 |         94 |        802 |
| apps\server\src\db (Files)                                                                                                                     |          4 |        417 |         18 |         60 |        495 |
| apps\server\src\db\mysql                                                                                                                       |          6 |        261 |         12 |         34 |        307 |
| apps\server\src\db\mysql (Files)                                                                                                               |          2 |        179 |          2 |         22 |        203 |
| apps\server\src\db\mysql\migrations                                                                                                            |          4 |         82 |         10 |         12 |        104 |
| apps\server\src\lib                                                                                                                            |          1 |        128 |         35 |         24 |        187 |
| apps\server\src\middleware                                                                                                                     |          5 |        428 |        105 |         83 |        616 |
| apps\server\src\routes                                                                                                                         |         10 |      1,645 |        220 |        185 |      2,050 |
| apps\server\src\seeds                                                                                                                          |          1 |        150 |          9 |         15 |        174 |
| apps\server\src\services                                                                                                                       |         10 |      1,607 |        232 |        262 |      2,101 |
| apps\web                                                                                                                                       |         36 |      4,588 |        197 |        501 |      5,286 |
| apps\web (Files)                                                                                                                               |          8 |        157 |          6 |         16 |        179 |
| apps\web\app                                                                                                                                   |         23 |      3,855 |        121 |        396 |      4,372 |
| apps\web\app (Files)                                                                                                                           |          4 |         78 |          1 |         18 |         97 |
